table,column,sqlite_type,is_pk,total_rows,non_null,missing,missing_pct,unique,min,max,mean,std,avg_len,most_common,most_common_pct,pct_true,json_parseable_pct,json_nonempty_pct
plant_library,soil_nutriments,INTEGER,False,9381,1531,7850,83.7,9,1.0,9.0,5.48,1.74,,6.0,24.1,,,
plant_library,soil_salinity,INTEGER,False,9381,1533,7848,83.7,10,0.0,9.0,0.35,1.3,,0.0,89.1,,,
plant_library,atmospheric_humidity,INTEGER,False,9381,1524,7857,83.8,9,1.0,9.0,5.53,1.78,,5.0,29.1,,,
plant_library,precipitation_min_mm,INTEGER,False,9381,0,9381,100.0,0,,,,,,,,,,
plant_library,precipitation_max_mm,INTEGER,False,9381,0,9381,100.0,0,,,,,,,,,,
plant_library,bloom_months,TEXT,False,9381,742,8639,92.1,47,,,,,23.0,"[""may"", ""jun"", ""jul""]",11.6,,100.0,100.0
plant_library,fruit_months,TEXT,False,9381,0,9381,100.0,0,,,,,,,,,,
plant_library,growth_months,TEXT,False,9381,0,9381,100.0,0,,,,,,,,,,
plant_library,flower_color,VARCHAR(100),False,9381,1489,7892,84.1,24,,,,,6.0,white,26.9,,,
plant_library,flower_conspicuous,BOOLEAN,False,9381,1107,8274,88.2,2,,,,,,1.0,59.3,,,
plant_library,foliage_color,VARCHAR(100),False,9381,551,8830,94.1,4,,,,,5.0,green,95.8,,,
plant_library,foliage_texture,VARCHAR(30),False,9381,1081,8300,88.5,3,,,,,5.6,medium,40.6,,,
plant_library,leaf_retention,BOOLEAN,False,9381,2,9379,100.0,2,,,,,,0.0,50.0,,,
plant_library,fruit_color,VARCHAR(100),False,9381,528,8853,94.4,10,,,,,4.8,brown,55.3,,,
plant_library,fruit_conspicuous,BOOLEAN,False,9381,1032,8349,89.0,2,,,,,,0.0,51.4,,,
plant_library,fruit_shape,VARCHAR(100),False,9381,0,9381,100.0,0,,,,,,,,,,
plant_library,seed_persistence,BOOLEAN,False,9381,0,9381,100.0,0,,,,,,,,,,
plant_library,poisonous_to_pets,BOOLEAN,False,9381,0,9381,100.0,0,,,,,,,,,,
plant_library,poisonous_to_humans,BOOLEAN,False,9381,0,9381,100.0,0,,,,,,,,,,
plant_library,drought_tolerant,BOOLEAN,False,9381,0,9381,100.0,0,,,,,,,,,,
plant_library,salt_tolerant,BOOLEAN,False,9381,0,9381,100.0,0,,,,,,,,,,
plant_library,thorny,BOOLEAN,False,9381,0,9381,100.0,0,,,,,,,,,,
plant_library,invasive,BOOLEAN,False,9381,0,9381,100.0,0,,,,,,,,,,
plant_library,rare,BOOLEAN,False,9381,0,9381,100.0,0,,,,,,,,,,
plant_library,tropical,BOOLEAN,False,9381,0,9381,100.0,0,,,,,,,,,,
plant_library,indoor,BOOLEAN,False,9381,0,9381,100.0,0,,,,,,,,,,
plant_library,cuisine,BOOLEAN,False,9381,0,9381,100.0,0,,,,,,,,,,
plant_library,medicinal,BOOLEAN,False,9381,0,9381,100.0,0,,,,,,,,,,
plant_library,attracts,TEXT,False,9381,0,9381,100.0,0,,,,,,,,,,
plant_library,propagation_methods,TEXT,False,9381,0,9381,100.0,0,,,,,,,,,,
plant_library,harvest_season,VARCHAR(50),False,9381,0,9381,100.0,0,,,,,,,,,,
